COURSE (TRILHA),NOME DA AULA,SINOPSE,LINK DA AULA,AULAS BÁSICAS,AULAS OBRIGATÓRIAS,EXCLUSIVO PRO
Biblioteca de Automações,Introdução,Apresentação do curso e visão geral das automações com n8n para gestores de tráfego pago.,https://app.agenze.io/c/automacoes-aplicadas-a-gestao-de-trafego/sections/895640/lessons/3392517,FALSE,FALSE,TRUE
Biblioteca de Automações,Aula 2,Aprofundamento em ferramentas e fluxos de automação no n8n aplicados à gestão de tráfego.,https://app.agenze.io/c/automacoes-aplicadas-a-gestao-de-trafego/sections/895640/lessons/3392522,FALSE,FALSE,TRUE
Biblioteca de Automações,Aula 3,Técnicas avançadas de automação para otimizar a rotina operacional do gestor de tráfego.,https://app.agenze.io/c/automacoes-aplicadas-a-gestao-de-trafego/sections/895640/lessons/3392532,FALSE,FALSE,TRUE
Biblioteca de Automações,Domine o Fluxo de Vendas: Importando e Analisando o Template de Agente Autônomo para WhatsApp (n8n),Como importar e configurar o agente autônomo de vendas no n8n integrado ao WhatsApp.,https://app.agenze.io/c/automacoes-aplicadas-a-gestao-de-trafego/sections/895640/lessons/3392537,FALSE,FALSE,TRUE
Biblioteca de Automações,Monitor de Campanhas Meta - WhatsApp,Automação que monitora campanhas do Meta ADS e dispara alertas em tempo real pelo WhatsApp.,https://app.agenze.io/c/automacoes-aplicadas-a-gestao-de-trafego/sections/895640/lessons/3392540,FALSE,FALSE,TRUE
Biblioteca de Automações,Relatório Inteligente do Meta (Facebook) Ads,Criação de relatório automatizado com dados e insights das campanhas do Meta (Facebook) Ads.,https://app.agenze.io/c/automacoes-aplicadas-a-gestao-de-trafego/sections/895640/lessons/3392543,FALSE,FALSE,TRUE
Biblioteca de Automações,Monitor Automático de Saldo do Meta Ads,Automação que monitora e alerta sobre o saldo disponível nas contas de anúncio do Meta Ads.,https://app.agenze.io/c/automacoes-aplicadas-a-gestao-de-trafego/sections/895640/lessons/3392550,FALSE,FALSE,TRUE
Agentes de IA,Analista de Página de Vendas,Agente de IA que analisa páginas de vendas e aponta melhorias para aumentar a conversão.,https://app.agenze.io/c/agentes-de-ia-para-gestao-de-trafego/sections/895648/lessons/3395377,FALSE,FALSE,TRUE
Agentes de IA,Auditor de Performance Digital,Agente que realiza auditoria completa de métricas e performance de campanhas digitais.,https://app.agenze.io/c/agentes-de-ia-para-gestao-de-trafego/sections/895648/lessons/3395378,FALSE,FALSE,TRUE
Agentes de IA,Agente Otimizador de ROI de Campanhas,IA que analisa dados de campanhas e sugere otimizações práticas para maximizar o ROI.,https://app.agenze.io/c/agentes-de-ia-para-gestao-de-trafego/sections/895648/lessons/3395390,FALSE,FALSE,TRUE
Agentes de IA,Agente Atendimento ao Cliente,Agente de IA para automatizar e escalar o atendimento ao cliente com consistência e qualidade.,https://app.agenze.io/c/agentes-de-ia-para-gestao-de-trafego/sections/895648/lessons/3395394,FALSE,FALSE,TRUE
Agentes de IA,Agente Gerador de ATA de Reuniões,IA que transcreve reuniões automaticamente e gera ATAs formatadas em segundos.,https://app.agenze.io/c/agentes-de-ia-para-gestao-de-trafego/sections/895648/lessons/3395400,FALSE,FALSE,TRUE
